review,label
Customer service was no help when the t-shirt broke.,0
The pair of jeans is slow and unresponsive.,0
The air fryer is too noisy and inefficient.,0
"The air fryer is disappointing, although it does look nice.",0
The smartphone doesn’t match the description.,0
The sneakers is too noisy and inefficient.,0
"The smartphone is great, but the packaging was damaged.",1
The laptop is intuitive and user-friendly.,1
"The cookbook performs well, but I wish the battery lasted longer.",1
"The tablet works great overall, though the setup was a bit tricky.",1
Customer service was no help when the novel broke.,0
This pair of jeans arrived late and was damaged.,0
The tablet arrived on time and performs perfectly.,1
The toaster stopped working after just a week.,0
This knife set made my life so much easier.,1
Battery life on this air fryer is terrible.,0
This knife set is overpriced for what it offers.,0
The blender is bulky and hard to store.,0
The sneakers overheats quickly and is unsafe.,0
The tablet has a weird smell and feels used.,0
"Love the cookbook, but the instructions could be clearer.",1
"The smartphone performs well, but I wish the battery lasted longer.",1
The t-shirt feels cheap and poorly made.,0
"Absolutely love this textbook, it exceeded my expectations.",1
The self-help book is too noisy and inefficient.,0
The knife set is lightweight and fits perfectly.,1
"The air fryer performs well, but I wish the battery lasted longer.",1
This jacket is not user-friendly at all.,0
"The coffee maker performs well, but I wish the battery lasted longer.",1
"I was skeptical at first, but this coffee maker turned out amazing.",1
I’ve already recommended this pair of jeans to my friends.,1
This t-shirt is overpriced for what it offers.,0
I regret buying this textbook.,0
"The novel is compact, efficient, and looks great in my kitchen.",1
The jacket has a weird smell and feels used.,0
"This t-shirt is fantastic, although it’s a bit pricey.",1
This cookbook is a game changer!,1
The cookbook feels cheap and poorly made.,0
This toaster made my life so much easier.,1
The textbook is too noisy and inefficient.,0
I’ve received so many compliments on this self-help book.,1
This pair of jeans arrived late and was damaged.,0
"This headphones is fantastic, although it’s a bit pricey.",1
"The dress is uncomfortable, but the color is nice.",0
Battery life on this blender is terrible.,0
"Not very effective, but the Bluetooth speaker is at least affordable.",0
Battery life on this pair of jeans is terrible.,0
This blender arrived late and was damaged.,0
This novel made my life so much easier.,1
The jacket is bulky and hard to store.,0
The cookbook is intuitive and user-friendly.,1
It’s hard to clean and maintain this sneakers.,0
The coffee maker arrived on time and performs perfectly.,1
The knife set overheats quickly and is unsafe.,0
The jacket stopped working after just a week.,0
Battery life on this smartphone is impressive.,1
"Not very effective, but the dress is at least affordable.",0
Customer service was no help when the air fryer broke.,0
The knife set is well-built and easy to use.,1
"The coffee maker performs well, but I wish the battery lasted longer.",1
The dress is too noisy and inefficient.,0
"The smartphone is disappointing, although it does look nice.",0
"The biography is disappointing, although it does look nice.",0
The smartphone is bulky and hard to store.,0
"Fantastic smartphone, especially for the price.",1
"Very disappointed with the cookbook, not worth the money.",0
"I had high hopes, but the novel let me down.",0
"This air fryer is fantastic, although it’s a bit pricey.",1
This self-help book is a game changer!,1
"This sneakers is fantastic, although it’s a bit pricey.",1
It’s hard to clean and maintain this headphones.,0
"Not very effective, but the headphones is at least affordable.",0
"The blender didn’t meet my expectations, but shipping was fast.",0
The dress arrived on time and performs perfectly.,1
Customer service was no help when the sneakers broke.,0
I use this pair of jeans every day and it never disappoints.,1
I use this knife set every day and it never disappoints.,1
The knife set arrived on time and performs perfectly.,1
"I was skeptical at first, but this dress turned out amazing.",1
The novel is too noisy and inefficient.,0
"Not very effective, but the self-help book is at least affordable.",0
This is the best toaster I've ever owned!,1
The tablet is too noisy and inefficient.,0
The jacket is bulky and hard to store.,0
"Fantastic self-help book, especially for the price.",1
"The jacket works great overall, though the setup was a bit tricky.",1
"The cookbook is uncomfortable, but the color is nice.",0
The air fryer is too noisy and inefficient.,0
"The laptop is compact, efficient, and looks great in my kitchen.",1
"Poor performance, though the air fryer design is sleek.",0
This sneakers is not user-friendly at all.,0
This textbook is overpriced for what it offers.,0
Great value for the price. The headphones is worth every penny.,1
I’ve already recommended this cookbook to my friends.,1
The cookbook feels cheap and poorly made.,0
"Very disappointed with the pair of jeans, not worth the money.",0
The headphones is too noisy and inefficient.,0
"Very disappointed with the jacket, not worth the money.",0
"The laptop is compact, efficient, and looks great in my kitchen.",1
"This cookbook is fantastic, although it’s a bit pricey.",1
"Absolutely love this Bluetooth speaker, it exceeded my expectations.",1
The toaster is too noisy and inefficient.,0
I use this self-help book every day and it never disappoints.,1
The laptop came with missing parts.,0
The sneakers is slow and unresponsive.,0
Customer service was no help when the self-help book broke.,0
"The t-shirt works great overall, though the setup was a bit tricky.",1
The dress is intuitive and user-friendly.,1
"The self-help book is disappointing, although it does look nice.",0
The smartphone is uncomfortable and looks cheap.,0
Great value for the price. The laptop is worth every penny.,1
I’ve already recommended this dress to my friends.,1
I had to return the dress after one use.,0
I’ve received so many compliments on this tablet.,1
The novel is slow and unresponsive.,0
The dress is too noisy and inefficient.,0
"The sneakers is great, but the packaging was damaged.",1
"The knife set is great, but the packaging was damaged.",1
This cookbook is not user-friendly at all.,0
"I was skeptical at first, but this tablet turned out amazing.",1
Highly recommend this sneakers to anyone looking for quality.,1
"The knife set is great, but the packaging was damaged.",1
"The sneakers didn’t meet my expectations, but shipping was fast.",0
"The knife set didn’t meet my expectations, but shipping was fast.",0
I’ve received so many compliments on this coffee maker.,1
"The pair of jeans is great, but the packaging was damaged.",1
"The textbook is compact, efficient, and looks great in my kitchen.",1
The sneakers is uncomfortable and looks cheap.,0
Customer service was no help when the laptop broke.,0
"Not very effective, but the jacket is at least affordable.",0
The pair of jeans is well-built and easy to use.,1
"Absolutely love this sneakers, it exceeded my expectations.",1
The sneakers is stylish and very comfortable to use.,1
The novel works flawlessly and looks great.,1
This t-shirt is a game changer!,1
"The headphones is compact, efficient, and looks great in my kitchen.",1
The laptop stopped working after just a week.,0
It’s hard to clean and maintain this knife set.,0
Customer service was no help when the toaster broke.,0
The air fryer works flawlessly and looks great.,1
Battery life on this sneakers is impressive.,1
"I had high hopes, but the air fryer let me down.",0
I’ve already recommended this tablet to my friends.,1
The t-shirt overheats quickly and is unsafe.,0
The biography is slow and unresponsive.,0
"Very disappointed with the coffee maker, not worth the money.",0
"The toaster didn’t meet my expectations, but shipping was fast.",0
"Not very effective, but the laptop is at least affordable.",0
The headphones is too noisy and inefficient.,0
The blender is well-built and easy to use.,1
This cookbook is a game changer!,1
The smartphone is intuitive and user-friendly.,1
Battery life on this textbook is impressive.,1
The biography overheats quickly and is unsafe.,0
"Love the t-shirt, but the instructions could be clearer.",1
"Fantastic self-help book, especially for the price.",1
The air fryer is intuitive and user-friendly.,1
The sneakers is bulky and hard to store.,0
Battery life on this blender is terrible.,0
"I had high hopes, but the smartphone let me down.",0
The headphones stopped working after just a week.,0
"Very disappointed with the jacket, not worth the money.",0
The Bluetooth speaker is too noisy and inefficient.,0
"This knife set is fantastic, although it’s a bit pricey.",1
The blender has a weird smell and feels used.,0
The pair of jeans feels cheap and poorly made.,0
This blender is a game changer!,1
"Fantastic self-help book, especially for the price.",1
This tablet is a game changer!,1
"Very disappointed with the blender, not worth the money.",0
This dress is overpriced for what it offers.,0
Battery life on this toaster is impressive.,1
I had to return the blender after one use.,0
The blender works flawlessly and looks great.,1
"This pair of jeans is fantastic, although it’s a bit pricey.",1
The air fryer is too noisy and inefficient.,0
"The biography works great overall, though the setup was a bit tricky.",1
I’ve received so many compliments on this blender.,1
I use this self-help book every day and it never disappoints.,1
"Absolutely love this knife set, it exceeded my expectations.",1
This is the best dress I've ever owned!,1
"Absolutely love this toaster, it exceeded my expectations.",1
Battery life on this sneakers is terrible.,0
"Love the jacket, but the instructions could be clearer.",1
The self-help book stopped working after just a week.,0
"Absolutely love this biography, it exceeded my expectations.",1
Customer service was no help when the knife set broke.,0
"The biography works great overall, though the setup was a bit tricky.",1
The headphones is bulky and hard to store.,0
The sneakers has excellent features and is very reliable.,1
I’ve received so many compliments on this Bluetooth speaker.,1
I use this Bluetooth speaker every day and it never disappoints.,1
The smartphone is intuitive and user-friendly.,1
The coffee maker stopped working after just a week.,0
The toaster is uncomfortable and looks cheap.,0
Highly recommend this headphones to anyone looking for quality.,1
I use this Bluetooth speaker every day and it never disappoints.,1
The pair of jeans is bulky and hard to store.,0
"I had high hopes, but the cookbook let me down.",0
The sneakers is stylish and very comfortable to use.,1
The dress has excellent features and is very reliable.,1
The laptop overheats quickly and is unsafe.,0
"The coffee maker performs well, but I wish the battery lasted longer.",1
"Not very effective, but the tablet is at least affordable.",0
"I had high hopes, but the textbook let me down.",0
It’s hard to clean and maintain this smartphone.,0
The dress doesn’t match the description.,0
I use this blender every day and it never disappoints.,1
This knife set is a game changer!,1
I had to return the biography after one use.,0
"I had high hopes, but the blender let me down.",0
The smartphone has excellent features and is very reliable.,1
The toaster is stylish and very comfortable to use.,1
I’ve received so many compliments on this laptop.,1
The air fryer is uncomfortable and looks cheap.,0
"Not very effective, but the t-shirt is at least affordable.",0
"Poor performance, though the self-help book design is sleek.",0
The dress is bulky and hard to store.,0
"This t-shirt is fantastic, although it’s a bit pricey.",1
This cookbook is not user-friendly at all.,0
The tablet stopped working after just a week.,0
The pair of jeans is intuitive and user-friendly.,1
This is the best headphones I've ever owned!,1
"The pair of jeans didn’t meet my expectations, but shipping was fast.",0
"Love the dress, but the instructions could be clearer.",1
This tablet is not user-friendly at all.,0
"Love the self-help book, but the instructions could be clearer.",1
The jacket is intuitive and user-friendly.,1
The biography is lightweight and fits perfectly.,1
The novel is uncomfortable and looks cheap.,0
The laptop is intuitive and user-friendly.,1
I had to return the novel after one use.,0
The air fryer is bulky and hard to store.,0
The toaster is lightweight and fits perfectly.,1
"The Bluetooth speaker works great overall, though the setup was a bit tricky.",1
The air fryer is bulky and hard to store.,0
The tablet doesn’t match the description.,0
"The blender is compact, efficient, and looks great in my kitchen.",1
The toaster doesn’t match the description.,0
The coffee maker works flawlessly and looks great.,1
I’ve received so many compliments on this coffee maker.,1
This is the best coffee maker I've ever owned!,1
Great value for the price. The jacket is worth every penny.,1
"The sneakers works great overall, though the setup was a bit tricky.",1
The toaster feels cheap and poorly made.,0
The novel doesn’t match the description.,0
"Love the tablet, but the instructions could be clearer.",1
"Not very effective, but the t-shirt is at least affordable.",0
"I was skeptical at first, but this coffee maker turned out amazing.",1
The t-shirt arrived on time and performs perfectly.,1
Battery life on this blender is terrible.,0
It’s hard to clean and maintain this sneakers.,0
"I had high hopes, but the textbook let me down.",0
"The cookbook is disappointing, although it does look nice.",0
The toaster is well-built and easy to use.,1
This is the best sneakers I've ever owned!,1
The textbook stopped working after just a week.,0
Great value for the price. The knife set is worth every penny.,1
The self-help book is uncomfortable and looks cheap.,0
"The cookbook didn’t meet my expectations, but shipping was fast.",0
The knife set is slow and unresponsive.,0
"This tablet is fantastic, although it’s a bit pricey.",1
The headphones overheats quickly and is unsafe.,0
This Bluetooth speaker is overpriced for what it offers.,0
This coffee maker made my life so much easier.,1
This pair of jeans arrived late and was damaged.,0
The t-shirt is intuitive and user-friendly.,1
The textbook stopped working after just a week.,0
"Not very effective, but the jacket is at least affordable.",0
I use this t-shirt every day and it never disappoints.,1
The tablet feels cheap and poorly made.,0
"The cookbook is great, but the packaging was damaged.",1
"The dress didn’t meet my expectations, but shipping was fast.",0
The novel doesn’t match the description.,0
Customer service was no help when the headphones broke.,0
"The biography is compact, efficient, and looks great in my kitchen.",1
The self-help book is slow and unresponsive.,0
The cookbook is intuitive and user-friendly.,1
The knife set is lightweight and fits perfectly.,1
The headphones has excellent features and is very reliable.,1
The self-help book stopped working after just a week.,0
The pair of jeans is stylish and very comfortable to use.,1
"Absolutely love this air fryer, it exceeded my expectations.",1
The smartphone feels cheap and poorly made.,0
The textbook is uncomfortable and looks cheap.,0
"Absolutely love this sneakers, it exceeded my expectations.",1
The t-shirt is lightweight and fits perfectly.,1
The jacket is stylish and very comfortable to use.,1
I use this tablet every day and it never disappoints.,1
This biography is a game changer!,1
Highly recommend this tablet to anyone looking for quality.,1
Battery life on this headphones is terrible.,0
I use this toaster every day and it never disappoints.,1
"Love the jacket, but the instructions could be clearer.",1
"The air fryer is compact, efficient, and looks great in my kitchen.",1
The coffee maker stopped working after just a week.,0
"Absolutely love this smartphone, it exceeded my expectations.",1
The sneakers is stylish and very comfortable to use.,1
"Not very effective, but the coffee maker is at least affordable.",0
The coffee maker is too noisy and inefficient.,0
The textbook is lightweight and fits perfectly.,1
The air fryer is too noisy and inefficient.,0
The sneakers is too noisy and inefficient.,0
It’s hard to clean and maintain this sneakers.,0
The headphones has excellent features and is very reliable.,1
The cookbook has a weird smell and feels used.,0
"The textbook didn’t meet my expectations, but shipping was fast.",0
This self-help book is not user-friendly at all.,0
The headphones works flawlessly and looks great.,1
"The knife set is uncomfortable, but the color is nice.",0
Customer service was no help when the t-shirt broke.,0
Battery life on this toaster is terrible.,0
I had to return the pair of jeans after one use.,0
The coffee maker is lightweight and fits perfectly.,1
"Love the laptop, but the instructions could be clearer.",1
The knife set is stylish and very comfortable to use.,1
The cookbook is too noisy and inefficient.,0
"Fantastic jacket, especially for the price.",1
"Not very effective, but the tablet is at least affordable.",0
The dress works flawlessly and looks great.,1
The blender is lightweight and fits perfectly.,1
I’ve already recommended this jacket to my friends.,1
"This Bluetooth speaker is fantastic, although it’s a bit pricey.",1
"The t-shirt is great, but the packaging was damaged.",1
The headphones arrived on time and performs perfectly.,1
The toaster has a weird smell and feels used.,0
"The smartphone performs well, but I wish the battery lasted longer.",1
The blender arrived on time and performs perfectly.,1
This is the best self-help book I've ever owned!,1
The biography is too noisy and inefficient.,0
The jacket came with missing parts.,0
I had to return the laptop after one use.,0
I’ve already recommended this knife set to my friends.,1
The Bluetooth speaker is bulky and hard to store.,0
The air fryer doesn’t match the description.,0
"Absolutely love this jacket, it exceeded my expectations.",1
This smartphone is a game changer!,1
This headphones is overpriced for what it offers.,0
The jacket is well-built and easy to use.,1
"Not very effective, but the tablet is at least affordable.",0
The smartphone works flawlessly and looks great.,1
The tablet is bulky and hard to store.,0
This laptop arrived late and was damaged.,0
The pair of jeans is well-built and easy to use.,1
It’s hard to clean and maintain this cookbook.,0
I use this coffee maker every day and it never disappoints.,1
Great value for the price. The knife set is worth every penny.,1
"The air fryer is disappointing, although it does look nice.",0
"The cookbook is disappointing, although it does look nice.",0
"Very disappointed with the blender, not worth the money.",0
I use this toaster every day and it never disappoints.,1
"The self-help book is great, but the packaging was damaged.",1
It’s hard to clean and maintain this air fryer.,0
This is the best toaster I've ever owned!,1
"The textbook works great overall, though the setup was a bit tricky.",1
The Bluetooth speaker is uncomfortable and looks cheap.,0
"Poor performance, though the pair of jeans design is sleek.",0
Battery life on this biography is terrible.,0
"This sneakers is fantastic, although it’s a bit pricey.",1
The pair of jeans came with missing parts.,0
"The tablet works great overall, though the setup was a bit tricky.",1
Battery life on this Bluetooth speaker is terrible.,0
"Not very effective, but the pair of jeans is at least affordable.",0
"The biography works great overall, though the setup was a bit tricky.",1
"Love the pair of jeans, but the instructions could be clearer.",1
I’ve already recommended this coffee maker to my friends.,1
"The laptop is great, but the packaging was damaged.",1
The coffee maker feels cheap and poorly made.,0
The tablet has excellent features and is very reliable.,1
The pair of jeans is stylish and very comfortable to use.,1
"Not very effective, but the toaster is at least affordable.",0
I’ve already recommended this t-shirt to my friends.,1
This pair of jeans is not user-friendly at all.,0
"Love the pair of jeans, but the instructions could be clearer.",1
The textbook is intuitive and user-friendly.,1
The jacket is intuitive and user-friendly.,1
This is the best cookbook I've ever owned!,1
Highly recommend this dress to anyone looking for quality.,1
The cookbook has excellent features and is very reliable.,1
"I was skeptical at first, but this coffee maker turned out amazing.",1
"The Bluetooth speaker is great, but the packaging was damaged.",1
The toaster is too noisy and inefficient.,0
"Poor performance, though the smartphone design is sleek.",0
I use this laptop every day and it never disappoints.,1
The jacket is stylish and very comfortable to use.,1
The blender is bulky and hard to store.,0
This tablet is a game changer!,1
The coffee maker stopped working after just a week.,0
"This dress is fantastic, although it’s a bit pricey.",1
"The self-help book didn’t meet my expectations, but shipping was fast.",0
"Fantastic sneakers, especially for the price.",1
"This biography is fantastic, although it’s a bit pricey.",1
The jacket came with missing parts.,0
I regret buying this headphones.,0
I use this air fryer every day and it never disappoints.,1
The pair of jeans is well-built and easy to use.,1
It’s hard to clean and maintain this t-shirt.,0
The self-help book is well-built and easy to use.,1
"I had high hopes, but the sneakers let me down.",0
Battery life on this t-shirt is impressive.,1
This biography is not user-friendly at all.,0
"Fantastic toaster, especially for the price.",1
The t-shirt is lightweight and fits perfectly.,1
I regret buying this toaster.,0
This is the best Bluetooth speaker I've ever owned!,1
I use this dress every day and it never disappoints.,1
The laptop is stylish and very comfortable to use.,1
The blender is well-built and easy to use.,1
Highly recommend this air fryer to anyone looking for quality.,1
"Poor performance, though the toaster design is sleek.",0
The novel works flawlessly and looks great.,1
The toaster overheats quickly and is unsafe.,0
I had to return the jacket after one use.,0
"The toaster is disappointing, although it does look nice.",0
"Absolutely love this textbook, it exceeded my expectations.",1
This Bluetooth speaker made my life so much easier.,1
The laptop came with missing parts.,0
"Absolutely love this coffee maker, it exceeded my expectations.",1
This self-help book is a game changer!,1
"The headphones didn’t meet my expectations, but shipping was fast.",0
The laptop doesn’t match the description.,0
The jacket stopped working after just a week.,0
"The knife set didn’t meet my expectations, but shipping was fast.",0
The sneakers came with missing parts.,0
Customer service was no help when the smartphone broke.,0
"The jacket is uncomfortable, but the color is nice.",0
I had to return the cookbook after one use.,0
The sneakers doesn’t match the description.,0
The Bluetooth speaker has a weird smell and feels used.,0
Highly recommend this laptop to anyone looking for quality.,1
The sneakers works flawlessly and looks great.,1
The Bluetooth speaker has excellent features and is very reliable.,1
The novel arrived on time and performs perfectly.,1
It’s hard to clean and maintain this smartphone.,0
"Poor performance, though the toaster design is sleek.",0
The laptop works flawlessly and looks great.,1
"Not very effective, but the knife set is at least affordable.",0
The Bluetooth speaker overheats quickly and is unsafe.,0
I use this pair of jeans every day and it never disappoints.,1
The air fryer feels cheap and poorly made.,0
The jacket is lightweight and fits perfectly.,1
The blender is uncomfortable and looks cheap.,0
"The laptop performs well, but I wish the battery lasted longer.",1
The pair of jeans is well-built and easy to use.,1
The headphones is uncomfortable and looks cheap.,0
"The biography performs well, but I wish the battery lasted longer.",1
The jacket has a weird smell and feels used.,0
"The headphones is disappointing, although it does look nice.",0
"The biography is uncomfortable, but the color is nice.",0
This is the best t-shirt I've ever owned!,1
Customer service was no help when the headphones broke.,0
This toaster is overpriced for what it offers.,0
I had to return the cookbook after one use.,0
"This sneakers is fantastic, although it’s a bit pricey.",1
"Not very effective, but the sneakers is at least affordable.",0
"The pair of jeans works great overall, though the setup was a bit tricky.",1
This biography made my life so much easier.,1
The coffee maker overheats quickly and is unsafe.,0
I’ve received so many compliments on this sneakers.,1
I had to return the blender after one use.,0
The blender came with missing parts.,0
The headphones has a weird smell and feels used.,0
Battery life on this coffee maker is impressive.,1
"The self-help book is great, but the packaging was damaged.",1
The dress is too noisy and inefficient.,0
I’ve received so many compliments on this t-shirt.,1
Customer service was no help when the pair of jeans broke.,0
The biography stopped working after just a week.,0
"Not very effective, but the headphones is at least affordable.",0
"Poor performance, though the tablet design is sleek.",0
"Love the sneakers, but the instructions could be clearer.",1
"The textbook is great, but the packaging was damaged.",1
"Not very effective, but the Bluetooth speaker is at least affordable.",0
The smartphone is lightweight and fits perfectly.,1
Customer service was no help when the jacket broke.,0
This coffee maker is a game changer!,1
The tablet is lightweight and fits perfectly.,1
This tablet is overpriced for what it offers.,0
The cookbook is uncomfortable and looks cheap.,0
The toaster overheats quickly and is unsafe.,0
Battery life on this Bluetooth speaker is terrible.,0
Great value for the price. The t-shirt is worth every penny.,1
"The tablet works great overall, though the setup was a bit tricky.",1
I’ve received so many compliments on this smartphone.,1
Battery life on this biography is terrible.,0
The cookbook has excellent features and is very reliable.,1
Highly recommend this coffee maker to anyone looking for quality.,1
"Not very effective, but the biography is at least affordable.",0
"Very disappointed with the air fryer, not worth the money.",0
"The t-shirt performs well, but I wish the battery lasted longer.",1
The coffee maker is too noisy and inefficient.,0
Great value for the price. The cookbook is worth every penny.,1
"The Bluetooth speaker is uncomfortable, but the color is nice.",0
"This jacket is fantastic, although it’s a bit pricey.",1
This biography is overpriced for what it offers.,0
The headphones has excellent features and is very reliable.,1
"I was skeptical at first, but this tablet turned out amazing.",1
The biography is intuitive and user-friendly.,1
It’s hard to clean and maintain this blender.,0
"The sneakers works great overall, though the setup was a bit tricky.",1
